#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,1.0,1.0,9.453,73671.27
1.0,1.0,0.0,1.0,2.051,73673.33
0.0,1.0,0.0,1.0,17.868,73691.195
1.0,1.0,0.0,1.0,11.738,73702.93
0.0,0.0,0.0,1.0,18.022,73720.95
1.0,0.0,0.0,1.0,11.516,73732.47
1.0,1.0,1.0,1.0,9.569,73742.04
0.0,1.0,0.0,1.0,8.279,73750.32
1.0,1.0,0.0,1.0,11.502,73761.82
0.0,0.0,0.0,1.0,18.091,73779.914
0.0,1.0,1.0,1.0,9.768,73789.68
1.0,1.0,0.0,1.0,2.143,73791.82
0.0,1.0,0.0,1.0,18.391,73810.21
1.0,1.0,0.0,1.0,11.892,73822.1
0.0,0.0,0.0,1.0,18.359,73840.46
1.0,0.0,0.0,1.0,11.775,73852.234
1.0,1.0,1.0,1.0,9.794,73862.03
0.0,1.0,0.0,1.0,8.526,73870.555
1.0,1.0,0.0,1.0,11.817,73882.375
0.0,0.0,0.0,1.0,18.564,73900.94
0.0,1.0,1.0,1.0,9.971,73910.91
1.0,1.0,0.0,1.0,2.188,73913.09
0.0,1.0,0.0,1.0,18.762,73931.86
1.0,1.0,0.0,1.0,12.162,73944.02
0.0,0.0,0.0,1.0,18.711,73962.734
1.0,0.0,0.0,1.0,11.955,73974.69
1.0,1.0,1.0,1.0,9.95,73984.64
0.0,1.0,0.0,1.0,8.656,73993.3
1.0,1.0,0.0,1.0,11.983,74005.28
0.0,0.0,0.0,1.0,18.673,74023.95
0.0,1.0,1.0,1.0,9.861,74033.81
1.0,1.0,0.0,1.0,2.157,74035.97
0.0,1.0,0.0,1.0,18.559,74054.53
1.0,1.0,0.0,1.0,12.025,74066.555
0.0,0.0,0.0,1.0,18.482,74085.04
1.0,0.0,0.0,1.0,11.806,74096.84
1.0,1.0,1.0,1.0,9.797,74106.64
0.0,1.0,0.0,1.0,8.425,74115.06
1.0,1.0,0.0,1.0,11.697,74126.76
0.0,0.0,0.0,1.0,18.223,74144.984
0.0,1.0,1.0,1.0,9.624,74154.61
1.0,1.0,0.0,1.0,2.098,74156.71
0.0,1.0,0.0,1.0,18.063,74174.77
1.0,1.0,0.0,1.0,11.696,74186.47
0.0,0.0,0.0,1.0,18.062,74204.53
1.0,0.0,0.0,1.0,11.585,74216.12
MARK 008
1.0,1.0,0.0,1.0,201.324,74417.44
0.0,0.0,0.0,1.0,18.487,74435.92
1.0,0.0,0.0,1.0,11.875,74447.8
1.0,1.0,1.0,1.0,9.864,74457.664
0.0,1.0,0.0,1.0,8.48,74466.14
